SANGER_ID,SPECIMEN_ID,DATE_OF_PRESERVATION,YEAR_OF_COLLECTION,MONTH_OF_COLLECTION,MONTH_YEAR,COLLECTION_LOCATION,DECIMAL_LATITUDE,DECIMAL_LONGITUDE,SEX,OUTDOORS_INDOORS,SPECIFIC_TIME_OF_COLLECTION,DURATION_OF_COLLECTION,COLLECTION_METHOD,BLOOD_MEAL,COLLECTOR_SAMPLE_ID,SPECIES_COLLECTED,PLASMODIUM_DETECTED,SPOROZOITE_INFECTIVITY,PLASMODIUM_SPECIES_AVAILABLE,CONTAMINATION_RISK,NN_ASSIGNMENT,VAE_SPECIES,SPECIES_CALL,CALL_METHOD
ANOSPP13031008,KAJO_001_A1,01/04/2013,2013,4,4.2013,UGANDA|KIIMI,-0.087011,32.651035,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KMI.ASP.4.13.011,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031080,KAJO_001_A10,01/04/2015,2015,4,4.2015,UGANDA|KANSAMBWE,-0.095757,32.6313,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.04-15.006,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031088,KAJO_001_A11,01/04/2014,2014,4,4.2014,UGANDA|KIIMI,-0.08781,32.651128,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KMI.ASP.4.14.002,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031096,KAJO_001_A12,01/03/2015,2015,3,3.2015,UGANDA|KANSAMBWE,-0.08638,32.5878,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.03-15.034,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031016,KAJO_001_A2,09/04/2013,2013,4,4.2013,UGANDA|KIIMI,-0.087914,32.651504,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,N,U.KMI.ASP.4.13.002,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031024,KAJO_001_A3,01/04/2013,2013,4,4.2013,UGANDA|KIIMI,-0.087811,32.651133,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KMI.ASP.4.13.015,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031032,KAJO_001_A4,01/05/2013,2013,5,5.2013,UGANDA|KIIMI,-0.08587,32.64872,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,N,U.KMI.ASP.5.13.008,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031040,KAJO_001_A5,01/05/2013,2013,5,5.2013,UGANDA|KIIMI,-0.087652,32.651681,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.KMI.XI.5.13.001,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031048,KAJO_001_A6,01/04/2013,2013,4,4.2013,UGANDA|BUGIRI,-0.095521,32.631206,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.BGR.ASP.4-13.001,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13031056,KAJO_001_A7,01/04/2015,2015,4,4.2015,UGANDA|KANSAMBWE,-0.086458,32.587131,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.04-15.009,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
